date	added	left	total
1789-01-01 00:00:00	United Kingdom,United States Of America		2
1790-01-01 00:00:00			2
1791-01-01 00:00:00	France		3
1792-01-01 00:00:00	Poland		4
1793-01-01 00:00:00			4
1794-01-01 00:00:00			4
1795-01-01 00:00:00	Netherlands		5
1796-01-01 00:00:00		Poland	4
1797-01-01 00:00:00			4
1798-01-01 00:00:00	Switzerland		5
1799-01-01 00:00:00			5
1800-01-01 00:00:00			5
1801-01-01 00:00:00			5
1802-01-01 00:00:00			5
1803-01-01 00:00:00			5
1804-01-01 00:00:00	Haiti		6
1805-01-01 00:00:00			6
1806-01-01 00:00:00	Wurttemberg		7
1807-01-01 00:00:00			7
1808-01-01 00:00:00	Bavaria,Spain		9
1809-01-01 00:00:00	Sweden		10
1810-01-01 00:00:00			10
1811-01-01 00:00:00			10
1812-01-01 00:00:00			10
1813-01-01 00:00:00	Paraguay		11
1814-01-01 00:00:00		Spain	10
1815-01-01 00:00:00			10
1816-01-01 00:00:00	Argentina		11
1817-01-01 00:00:00			11
1818-01-01 00:00:00	Baden,Chile,Liechtenstein		14
1819-01-01 00:00:00	Hanover		15
1820-01-01 00:00:00	Hesse-Darmstadt (Ducal),Saxony,Spain		18
1821-01-01 00:00:00	Great Colombia,Mexico		20
1822-01-01 00:00:00	Portugal		21
1823-01-01 00:00:00		Portugal,Spain	19
1824-01-01 00:00:00	Brazil,United Provinces Of Central America	Chile	20
1825-01-01 00:00:00			20
1826-01-01 00:00:00	Bolivia,Chile,Peru,Portugal		24
1827-01-01 00:00:00			24
1828-01-01 00:00:00		Portugal	23
1829-01-01 00:00:00	Venezuela		24
1830-01-01 00:00:00	Colombia,Ecuador,Uruguay		27
1831-01-01 00:00:00	Belgium,Hesse-Kassel (Electoral)	Great Colombia	28
1832-01-01 00:00:00			28
1833-01-01 00:00:00			28
1834-01-01 00:00:00	Spain		29
1835-01-01 00:00:00			29
1836-01-01 00:00:00			29
1837-01-01 00:00:00			29
1838-01-01 00:00:00	Portugal		30
1839-01-01 00:00:00			30
1840-01-01 00:00:00	Costa Rica,El Salvador,Guatemala,Honduras,Nicaragua	United Provinces Of Central America	34
1841-01-01 00:00:00		Mexico	33
1842-01-01 00:00:00			33
1843-01-01 00:00:00	Mexico		34
1844-01-01 00:00:00	Dominican Republic,Greece		36
1845-01-01 00:00:00			36
1846-01-01 00:00:00			36
1847-01-01 00:00:00	Liberia		37
1848-01-01 00:00:00	Austria-Hungary,Germany (Prussia),Italy/Sardinia		40
1849-01-01 00:00:00	Denmark,Mecklenburg-Schwerin		42
1850-01-01 00:00:00			42
1851-01-01 00:00:00			42
1852-01-01 00:00:00			42
1853-01-01 00:00:00			42
1854-01-01 00:00:00	Orange Free State		43
1855-01-01 00:00:00			43
1856-01-01 00:00:00	Transvaal		44
1857-01-01 00:00:00			44
1858-01-01 00:00:00			44
1859-01-01 00:00:00			44
1860-01-01 00:00:00			44
1861-01-01 00:00:00	Tunisia	Dominican Republic	44
1862-01-01 00:00:00			44
1863-01-01 00:00:00			44
1864-01-01 00:00:00		Tunisia	43
1865-01-01 00:00:00	Dominican Republic		44
1866-01-01 00:00:00			44
1867-01-01 00:00:00	Canada,Luxembourg		46
1868-01-01 00:00:00			46
1869-01-01 00:00:00			46
1870-01-01 00:00:00			46
1871-01-01 00:00:00			46
1872-01-01 00:00:00		Baden,Bavaria,Hanover,Hesse-Darmstadt (Ducal),Hesse-Kassel (Electoral),Mecklenburg-Schwerin,Saxony,Wurttemberg	38
1873-01-01 00:00:00			38
1874-01-01 00:00:00			38
1875-01-01 00:00:00			38
1876-01-01 00:00:00	Turkey/Ottoman Empire		39
1877-01-01 00:00:00			39
1878-01-01 00:00:00	Romania,Yugoslavia (Serbia)	Turkey/Ottoman Empire	40
1879-01-01 00:00:00	Bulgaria		41
1880-01-01 00:00:00			41
1881-01-01 00:00:00		Bulgaria	40
1882-01-01 00:00:00			40
1883-01-01 00:00:00	Bulgaria		41
1884-01-01 00:00:00			41
1885-01-01 00:00:00			41
1886-01-01 00:00:00			41
1887-01-01 00:00:00			41
1888-01-01 00:00:00			41
1889-01-01 00:00:00	Japan		42
1890-01-01 00:00:00			42
1891-01-01 00:00:00			42
1892-01-01 00:00:00			42
1893-01-01 00:00:00			42
1894-01-01 00:00:00			42
1895-01-01 00:00:00			42
1896-01-01 00:00:00			42
1897-01-01 00:00:00			42
1898-01-01 00:00:00			42
1899-01-01 00:00:00			42
1900-01-01			42
1901-01-01	Australia		43
1902-01-01	Cuba		44
1903-01-01			44
1904-01-01	Panama		45
1905-01-01	Montenegro,Norway,Russia (Soviet Union)		48
1906-01-01	Iran (Persia)		49
1907-01-01	New Zealand		50
1908-01-01	Turkey/Ottoman Empire		51
1909-01-01			51
1910-01-01	South Africa		52
1911-01-01	China,Monaco	Orange Free State,Transvaal	52
1912-01-01			52
1913-01-01			52
1914-01-01	Albania	Monaco	52
1915-01-01			52
1916-01-01		Haiti,Montenegro,Yugoslavia (Serbia)	49
1917-01-01	Monaco		50
1918-01-01	Lithuania,Yugoslavia (Serbia)		52
1919-01-01	Czechoslovakia,Estonia,Finland,Hungary,Latvia,Poland	Austria-Hungary	57
1920-01-01	Austria		58
1921-01-01	Ireland		59
1922-01-01			59
1923-01-01	Afghanistan,Egypt		61
1924-01-01	Mongolia		62
1925-01-01			62
1926-01-01		Portugal	61
1927-01-01			61
1928-01-01			61
1929-01-01			61
1930-01-01			61
1931-01-01	Ethiopia		62
1932-01-01	Iraq,Saudi Arabia,Thailand		65
1933-01-01	Portugal	Uruguay	65
1934-01-01	Haiti,Uruguay	Bulgaria,Egypt	65
1935-01-01	Egypt		66
1936-01-01			66
1937-01-01			66
1938-01-01	Bulgaria	Ecuador	66
1939-01-01	Ecuador	Bolivia	66
1940-01-01		Romania	65
1941-01-01		Estonia,Latvia,Lithuania	62
1942-01-01			62
1943-01-01			62
1944-01-01	Iceland,Lebanon,Romania		65
1945-01-01	Bolivia,Indonesia		67
1946-01-01	Jordan,Philippines,Syria	Germany (Prussia)	69
1947-01-01			69
1948-01-01	Korea, People'S Republic Of,Korea, Republic Of,Myanmar (Burma),Nepal,Sri Lanka (Ceylon)	Costa Rica	73
1949-01-01	Costa Rica,German Democratic Republic,German Federal Republic,India,Taiwan	Syria	77
1950-01-01	Syria		78
1951-01-01	Libya	Syria	78
1952-01-01		Egypt	77
1953-01-01	Bhutan,Cambodia (Kampuchea),Egypt,Syria		81
1954-01-01	Laos		82
1955-01-01			82
1956-01-01	Pakistan,Sudan,Tunisia,Vietnam, Republic Of		86
1957-01-01	Ghana,Malaysia		88
1958-01-01	Guinea,Israel	Pakistan,Sudan,Thailand,Venezuela	86
1959-01-01	Thailand	Monaco	86
1960-01-01	Benin,Burkina Faso (Upper Volta),Cameroon,Central African Republic,Chad,Congo, Democratic Republic Of (Zaire),Cote D'Ivoire,Cyprus,Gabon,Madagascar (Malagasy),Mali,Mauritania,Niger,Nigeria,Senegal,Somalia,Togo,Vietnam, Democratic Republic Of	Nepal	103
1961-01-01	Congo,Kuwait,Sierra Leone,Tanzania/Tanganyika,Venezuela	El Salvador	107
1962-01-01	Burundi,El Salvador,Jamaica,Monaco,Morocco,Nepal,Pakistan,Rwanda,Samoa,Trinidad And Tobago,Uganda,Yemen (Arab Republic Of Yemen)		119
1963-01-01	Algeria,Kenya	Benin,Guatemala,Vietnam, Republic Of	118
1964-01-01	Benin,Malawi,Malta,Sudan,Vietnam, Republic Of,Zambia		124
1965-01-01	Gambia,Guatemala,Singapore,Zimbabwe (Rhodesia)	Benin	127
1966-01-01	Barbados,Botswana,Guyana,Lesotho	Burkina Faso (Upper Volta),Burundi,Ghana,Nigeria,Syria	126
1967-01-01		Sierra Leone,Togo	124
1968-01-01	Benin,Equatorial Guinea,Maldives,Mauritius,Nauru,Sierra Leone,Swaziland	Mali	130
1969-01-01	Ghana,Syria	Somalia,Sudan	130
1970-01-01	Burkina Faso (Upper Volta),Fiji,Tonga,Yemen, People'S Republic Of	Ecuador,Lesotho	132
1971-01-01	Qatar,Sudan,Togo,United Arab Emirates	Thailand,Uganda	134
1972-01-01	Bangladesh,Ecuador,Thailand	Benin,Ghana	135
1973-01-01	Bahamas,Bahrain		137
1974-01-01	Burundi,Grenada,Guinea-Bissau,Mali	Burkina Faso (Upper Volta),Ecuador,Niger,Portugal	137
1975-01-01	Angola,Comoros,Mozambique,Nigeria,Papua New Guinea,Sao Tome And Principe,Surinam	Chad	143
1976-01-01	Ecuador,Portugal,Seychelles	Burundi,Vietnam, Republic Of	144
1977-01-01	Burkina Faso (Upper Volta),Djibouti	Congo,Pakistan	144
1978-01-01	Chad,Dominica,Solomon Islands,Tuvalu		148
1979-01-01	Benin,Congo,Ghana,Kiribati,Somalia,St. Lucia,St. Vincent And The Grenadines	Grenada,Nicaragua	153
1980-01-01	Cape Verde,Vanuatu	Burkina Faso (Upper Volta),Liberia,Surinam	152
1981-01-01	Antigua And Barbuda,Belize,Burundi,Surinam,Uganda	Gambia,Ghana,Thailand	154
1982-01-01	Ghana	Bangladesh	154
1983-01-01	Burkina Faso (Upper Volta),Lesotho,St. Kitts And Nevis,Thailand	Nigeria	157
1984-01-01	Brunei	Guinea	157
1985-01-01	Pakistan		158
1986-01-01	Bangladesh,Liberia,Marshall Islands,Micronesia, Fed. Sts.	Kuwait,Lesotho	160
1987-01-01	Nicaragua	Burundi	160
1988-01-01		Myanmar (Burma)	159
