code	description
LIFE	Does the constitution provide for a right to life?
HEALTHR	Does the constitution mention the right to health care?
WARAP	Who has the power to approve declarations of war?
INFOACC	Does the constitution provide for an individual right to view government files or documents under at least some conditions?
MATEQUAL	Does the constitution provide for matrimonial equality?
EXAMWIT	Does the constitution provide for the right to examine evidence or confront all witnesses?
CITDEP	Does the constitution grant the government the right to deport citizens or residents?
EXECINDP	Does the constitution contain an explicit declaration regarding the INDEPENDENCE of the central executive organ(s)?
PART	Does the constitution refer to political parties?
AMPARO	"Does the constitution provide for a right to petition for ""amparo""?"
TREAT	Does the constitution mention international treaties?
NAT	Does the constitution contain provisions concerning the relationship between the constitution and international law?
HEALTHF	Does the constitution specify that healthcare should be provided by government free of charge?
REMUNER	Does the constitution provide the right to just remuneration, fair or equal payment for work?
PROFLEG	Does the constitution require that legislators give up any other profession (i.e. work exclusively as legislators)?
JC	Does the constitution contain provisions for a Judicial Council/Commission?
DEMOC	"Does the constitution refer to ""democracy"" or ""democratic""?"
FREEREL	Does the constitution provide for freedom of religion?
JREM	Are there provisions for dismissing judges?
CHILDPRO	Does the constitution guarantee the rights of children?
HOGID	"Is one of the executives explicitly referred to as the ""Head of Government""?"
CRUELTY	Does the constitution prohibit cruel, inhuman, or degrading treatment?
LEISURE	Does the constitution provide for a right of rest and leisure?
PUBMEET	Does the constitution prescribe whether or not the meetings of the Legislature are (generally) held in public?
CHILDWRK	Does the constitution place limits on child employment?
CONCOP	Does the constitution mention judicial opinions of the Constitutional Court?
HOSHOG	Is the executive identified explicitly as the Head of State or Head of Government?
PARTRGHT	Does the constitution provide for a right to form political parties?
MIRANDA	Does the constitution give the accused a right to silence or protection from self incrimination?
TERROR	Is there special mention of terrorism and public security provisions regarding terrorism?
REMLEG	Are there provisions for removing individual legislators?
LEGJOINT	Does the constitution specify that the chambers should meet jointly for any reason?
HABCORP	Does the constitution provide for the right to protection from unjustified restraint (habeas corpus)?
NOMIL	Is there a right to exemption from military service for conscientous objectors to war or other groups?
OCCUPATE	Does the constitution provide for the right to choose ones occupation?
ASSEM	Does the constitution provide for freedom of assembly?
PRTYDUTY	Does the constitution refer to a duty to join a political party?
TAXES	Does the constitution refer to a duty to pay taxes?
SAFEWORK	Does the constitution mention the right to safe/healthy working conditions?
EXINST	Does the constitution contain provisions with regard to any additional central independent regulatory agencies ?
MILITARY	Is the military or armed forces mentioned in the constitution?
BUSINES	Does the constitution provide a right to conduct/establish a business?
EXPOST	Does the constitution prohibit punishment by laws enacted ex post facto ?
SOCECON	Does the constitution use the words (socio-) economic rights or similar?
INVEXE	Does the legislature have the power to investigate the activities of the executive branch?
INTLAW	Does the constitution contain provisions concerning the relationship between the constitution and international law?
ASSETS	Does the constitution require that legislators disclose their earnings and/or assets?
REFEREN	Does the constitution stipulate that some public office holders take an oath to support or abide by the constitution?
EXPRESS	Does the constitution provide for freedom of expression or speech?
LEGSUPR	Is a supermajority needed for passing any legislation?
RESRCE	Does the constitution refer to ownership or possession of natural resources (such as minerals, oil, etc.)?
JUDRETIR	Is there a mandatory retirement age for judges?
DEBTORS	Does the constitution forbid the detention of debtors?
BUILDSOC	Does the constitution refer to a duty of the people to take part in building society or to work for the development of the country?
OATH	Does the constitution stipulate that some public office holders take an oath to support or abide by the constitution?
PETITION	Does the constitution provide for a right of petition?
FALSEIMP	Does the constitution provide for the right of some redress in the case of false imprisonment, arrest, or judicial error?
OMBUDS	Does the constitution provide for an Ombudsman?
JURY	Does the constitution require a jury or any form of citizen participation in decision making in criminal trials?
HR	Does the constitution suggest that citizens should have the right to overthrow their government under certain circumstances?
DEVLPERS	Does the constitution provide for an individual's right to self determination or the right to free development of personality?
PROVWORK	Does the constitution mention a state duty to provide work/employment?
FREEMOVE	Does the constitution provide for freedom of movement?
INITIAT	Does the constitution provide for the ability of individuals to propose legislative initiatives (referenda from below)?
FEDUNIT	Is the state described as either federal, confederal, or unitary?
JUDSAL	Does the constitution explicitly state that judicial salaries are protected from governmental intervention?
ILLADMIN	Does the constitution contain provisions protecting the individual against illegal or ultra-vires administrative actions?
OPINION	Does the constitution provide for freedom of opinion, thought, and/or conscience?
AMNDAMAJ	Do constitutional amendments require more than a simple majority by the legislature to be approved?
GOVMED	How does the constitution address the state operation of print or electronic media?
MARKET	"Does the constitution refer to the ""free market,"" ""capitalism,"" or an analogous term?"
LEGISL	Does the constitution provide for a central representative body (a legislature)?
SLAVE	Does the constitution prohibit slavery, servitude, or forced labor?
CITREN	Do citizens have the right to renounce their citizenship?
TRUTHCOM	Does the constitution provide for a commission for truth and reconciliation?
CIVIL	Does the constitution include provisions for the meritocratic recruitment of civil servants (e.g. exams or credential requirements)?
MEDCOM	Does the constitution mention a special regulatory body/institution to oversee the media market?
UNAMEND	Are any parts of the constitution unamendable?
JUDIND	Does the constitution contain an explicit declaration regarding the independence of the central judicial organ(s)?
SCIENCE	Does the constitution refer to artists or the arts?
PRESS	Does the constitution provide for freedom of expression or speech?
RADIO	Does the constitution refer to radio?
OFFREL	Does the constitution contain provisions concerning a national or official religion or a national or official church?
EM	"Does the constitution refer to ""democracy"" or ""democratic""?"
PREVLEAD	Does the constitution mention anything about crimes committed by the previous regime?
PARTPRF	Does the constitution express a preference for one or more political parties?
COUNS	Does the constitution provide the right to counsel if one is indicted or arrested?
PARTPRH	Does the constitution prohibit one or more political parties?
CENSOR	Does the constitution prohibit censorship?
PROPRGHT	Does the constitution provide for a right to own property?
VOTEUN	Does the constitution make a claim to universal adult suffrage?
SPEEDTRI	Does the constitution provide for the right to a speedy trial?
VOTERES	Does the constitution place any restrictions on the right to vote?
FLAG	Does the constitution contain provisions concerning the national flag?
LHQUOTA	Does the constitution stipulate a quota for representation of certain groups in the first (or only) chamber?
ENV	Does the constitution refer to protection or preservation of the environment?
FREECOMP	Does the constitution provide the right to a free and/or competitive market?
SELFDET	Does the constitution provide for a people's right of self-determination?
HOSID	"Is one of the executives explicitly referred to as the ""Head of State""?"
FNDFAM	Does the constitution provide the right to found a family?
BANKRUPT	Does the constitution mention bankruptcy law?
ACHIGHED	Does the constitution guarantee equal access to higher education?
